frame_number,instruction_text,quality_score,image_path,robot_x,robot_y,robot_z,robot_qx,robot_qy,robot_qz,robot_qw,roll_deg,pitch_deg,yaw_deg
12,make slow circular sweeps until moving anatomy appears,2,frames/frame_000012.png,-0.565237,0.142072,0.103092,0.166540,-0.723338,-0.340430,0.577195,98.464863,-46.188685,-113.696229
13,make slow circular sweeps until moving anatomy appears,2,frames/frame_000013.png,-0.565331,0.142049,0.103072,0.161034,-0.724866,-0.335543,0.579697,98.676543,-47.082662,-113.914817
14,make slow circular sweeps until moving anatomy appears,2,frames/frame_000014.png,-0.564004,0.144557,0.102530,0.147687,-0.728637,-0.326636,0.583598,99.237212,-48.936504,-114.768213
15,make slow circular sweeps until moving anatomy appears,2,frames/frame_000015.png,-0.564062,0.144529,0.102443,0.136514,-0.731458,-0.316515,0.588346,99.764961,-50.740140,-115.297659
16,make slow circular sweeps until moving anatomy appears,2,frames/frame_000016.png,-0.563942,0.144603,0.102071,0.125211,-0.734112,-0.306340,0.592922,100.344147,-52.544829,-115.888844
17,make slow circular sweeps until moving anatomy appears,2,frames/frame_000017.png,-0.563849,0.144612,0.101838,0.119832,-0.735308,-0.301419,0.595070,100.640576,-53.406102,-116.185428
18,make slow circular sweeps until moving anatomy appears,2,frames/frame_000018.png,-0.565179,0.142172,0.102087,0.110986,-0.736939,-0.290242,0.600302,101.171317,-55.119449,-116.441143
19,make slow circular sweeps until moving anatomy appears,2,frames/frame_000019.png,-0.563951,0.144638,0.101894,0.096896,-0.739298,-0.280530,0.604444,101.879878,-57.072997,-117.443420
20,make slow circular sweeps until moving anatomy appears,2,frames/frame_000020.png,-0.564191,0.144584,0.102168,0.074770,-0.742440,-0.259145,0.613218,103.411035,-60.668734,-118.900951
21,make slow circular sweeps until moving anatomy appears,2,frames/frame_000021.png,-0.563985,0.144734,0.101985,0.063603,-0.744047,-0.248067,0.617100,104.443835,-62.467153,-119.879405
22,make slow circular sweeps until moving anatomy appears,2,frames/frame_000022.png,-0.563868,0.144888,0.101898,0.052419,-0.745403,-0.236958,0.620869,105.592564,-64.257148,-120.977062
23,make slow circular sweeps until moving anatomy appears,2,frames/frame_000023.png,-0.564049,0.144816,0.102006,0.041628,-0.746386,-0.226044,0.624564,106.809758,-65.995113,-122.132307
24,make slow circular sweeps until moving anatomy appears,2,frames/frame_000024.png,-0.564188,0.144797,0.102090,0.035932,-0.746818,-0.220283,0.626456,107.516956,-66.906568,-122.808517
25,make slow circular sweeps until moving anatomy appears,2,frames/frame_000025.png,-0.564454,0.144657,0.102172,0.025070,-0.747535,-0.209094,0.629955,109.053090,-68.644984,-124.271738
26,make slow circular sweeps until moving anatomy appears,2,frames/frame_000026.png,-0.564398,0.144716,0.101994,0.019897,-0.747956,-0.203831,0.631362,109.930172,-69.447606,-125.121443
27,make slow circular sweeps until moving anatomy appears,2,frames/frame_000027.png,-0.564258,0.144807,0.101706,0.011364,-0.748540,-0.195032,0.633657,111.531680,-70.769768,-126.670027
28,make slow circular sweeps until moving anatomy appears,2,frames/frame_000028.png,-0.564189,0.144866,0.101677,0.003006,-0.748875,-0.186199,0.636008,113.282118,-72.075441,-128.352808
29,make slow circular sweeps until moving anatomy appears,2,frames/frame_000029.png,-0.564233,0.144829,0.101782,-0.002653,-0.748936,-0.180253,0.637649,114.557370,-72.954737,-129.586523
30,make slow circular sweeps until moving anatomy appears,2,frames/frame_000030.png,-0.564432,0.144872,0.101622,-0.031115,-0.748851,-0.151924,0.644339,123.378532,-77.028659,-138.347980
31,make slow circular sweeps until moving anatomy appears,2,frames/frame_000031.png,-0.564510,0.144891,0.101534,-0.042562,-0.748456,-0.140504,0.646731,128.610281,-78.538853,-143.560720
32,make slow circular sweeps until moving anatomy appears,2,frames/frame_000032.png,-0.564473,0.144921,0.101463,-0.048371,-0.748205,-0.134688,0.647849,131.830632,-79.258490,-146.771360
33,make slow circular sweeps until moving anatomy appears,2,frames/frame_000033.png,-0.565839,0.142526,0.101906,-0.057246,-0.747588,-0.122095,0.650330,138.995219,-80.517329,-153.616414
34,make slow circular sweeps until moving anatomy appears,2,frames/frame_000034.png,-0.564378,0.145033,0.101404,-0.065396,-0.747240,-0.117461,0.650814,144.181793,-81.111636,-159.085068
35,make slow circular sweeps until moving anatomy appears,2,frames/frame_000035.png,-0.564442,0.145096,0.101675,-0.076870,-0.746220,-0.105697,0.652744,155.425101,-82.067452,-170.295452
36,make slow circular sweeps until moving anatomy appears,2,frames/frame_000036.png,-0.564667,0.145000,0.101892,-0.087852,-0.745174,-0.093989,0.654343,168.731436,-82.618205,176.462471
37,make slow circular sweeps until moving anatomy appears,2,frames/frame_000037.png,-0.564978,0.144926,0.102236,-0.099181,-0.743983,-0.081594,0.655740,-176.087542,-82.704201,161.369487
38,make slow circular sweeps until moving anatomy appears,2,frames/frame_000038.png,-0.564915,0.145000,0.102219,-0.110402,-0.742856,-0.069339,0.656634,-161.852766,-82.255769,147.215475
39,make slow circular sweeps until moving anatomy appears,2,frames/frame_000039.png,-0.564813,0.145052,0.102142,-0.115992,-0.742261,-0.063214,0.656962,-155.551518,-81.865474,140.954582
40,make slow circular sweeps until moving anatomy appears,2,frames/frame_000040.png,-0.564542,0.145140,0.101490,-0.137632,-0.739697,-0.039088,0.657555,-137.021621,-79.590613,122.605007
41,make slow circular sweeps until moving anatomy appears,2,frames/frame_000041.png,-0.566205,0.142619,0.102075,-0.146044,-0.738120,-0.025663,0.658173,-130.599631,-78.270112,116.578263
42,make slow circular sweeps until moving anatomy appears,2,frames/frame_000042.png,-0.564915,0.145090,0.101772,-0.158363,-0.735907,-0.015819,0.658112,-125.746058,-76.812621,111.501741
43,make slow circular sweeps until moving anatomy appears,2,frames/frame_000043.png,-0.564807,0.145169,0.101708,-0.166105,-0.734405,-0.007141,0.658033,-122.753508,-75.672710,108.568995
44,make slow circular sweeps until moving anatomy appears,2,frames/frame_000044.png,-0.566066,0.142720,0.101911,-0.169741,-0.733735,0.001426,0.657890,-120.794539,-74.785340,107.001901
45,make slow circular sweeps until moving anatomy appears,2,frames/frame_000045.png,-0.566043,0.142717,0.101779,-0.174434,-0.732796,0.006927,0.657673,-119.369416,-74.042256,105.631004
46,make slow circular sweeps until moving anatomy appears,2,frames/frame_000046.png,-0.564653,0.145258,0.101273,-0.188215,-0.729639,0.018072,0.657172,-116.350590,-72.212179,102.361625
47,make slow circular sweeps until moving anatomy appears,2,frames/frame_000047.png,-0.564708,0.145272,0.101437,-0.199486,-0.726440,0.030024,0.656955,-113.827633,-70.475223,99.860055
48,make slow circular sweeps until moving anatomy appears,2,frames/frame_000048.png,-0.564794,0.145348,0.101645,-0.211274,-0.722798,0.042419,0.656602,-111.603112,-68.631812,97.645213
49,make slow circular sweeps until moving anatomy appears,2,frames/frame_000049.png,-0.566255,0.142901,0.102141,-0.214208,-0.721646,0.049343,0.656436,-110.719548,-67.863438,97.075353
50,make slow circular sweeps until moving anatomy appears,2,frames/frame_000050.png,-0.565046,0.145342,0.101969,-0.244035,-0.711704,0.078150,0.654077,-107.066085,-63.236879,93.215884
51,make slow circular sweeps until moving anatomy appears,2,frames/frame_000051.png,-0.565086,0.145318,0.102005,-0.249563,-0.709689,0.084218,0.653428,-106.483795,-62.303854,92.651444
52,make slow circular sweeps until moving anatomy appears,2,frames/frame_000052.png,-0.566383,0.142992,0.102375,-0.263487,-0.704532,0.102395,0.650941,-105.110393,-59.684430,91.555207
53,make slow circular sweeps until moving anatomy appears,2,frames/frame_000053.png,-0.564958,0.145479,0.101913,-0.271319,-0.701740,0.106636,0.650058,-104.732185,-58.702256,90.840526
54,make slow circular sweeps until moving anatomy appears,2,frames/frame_000054.png,-0.564846,0.145522,0.101772,-0.282534,-0.697487,0.117861,0.647916,-104.035626,-56.848413,90.079379
55,make slow circular sweeps until moving anatomy appears,2,frames/frame_000055.png,-0.564783,0.145576,0.101658,-0.288188,-0.695343,0.123389,0.646699,-103.741204,-55.918139,89.739760
56,make slow circular sweeps until moving anatomy appears,2,frames/frame_000056.png,-0.564895,0.145529,0.101545,-0.299282,-0.690945,0.134401,0.644176,-103.195234,-54.069751,89.114956
57,make slow circular sweeps until moving anatomy appears,2,frames/frame_000057.png,-0.565033,0.145475,0.101643,-0.304792,-0.688616,0.139923,0.642909,-102.926535,-53.143400,88.809749
58,make slow circular sweeps until moving anatomy appears,2,frames/frame_000058.png,-0.565220,0.145341,0.101799,-0.315607,-0.683955,0.150837,0.640193,-102.452926,-51.307727,88.266717
59,make slow circular sweeps until moving anatomy appears,2,frames/frame_000059.png,-0.565140,0.145420,0.101642,-0.326351,-0.679326,0.161341,0.637165,-102.085195,-49.497615,87.796729
60,make slow circular sweeps until moving anatomy appears,2,frames/frame_000060.png,-0.566217,0.143056,0.101474,-0.350712,-0.668120,0.188823,0.628460,-101.321210,-45.017970,87.087152
61,make slow circular sweeps until moving anatomy appears,2,frames/frame_000061.png,-0.565113,0.145435,0.101346,-0.363341,-0.661558,0.198256,0.625315,-101.002657,-43.101711,86.382320
62,make slow circular sweeps until moving anatomy appears,2,frames/frame_000062.png,-0.565169,0.145435,0.101387,-0.368326,-0.658900,0.203314,0.623579,-100.867473,-42.220037,86.203952
63,make slow circular sweeps until moving anatomy appears,2,frames/frame_000063.png,-0.565033,0.145480,0.101198,-0.376978,-0.654283,0.212044,0.620353,-100.669688,-40.685107,85.923874
64,make slow circular sweeps until moving anatomy appears,2,frames/frame_000064.png,-0.564998,0.145509,0.101234,-0.386979,-0.648318,0.222686,0.616719,-100.366721,-38.851975,85.567262
65,make slow circular sweeps until moving anatomy appears,2,frames/frame_000065.png,-0.566386,0.143050,0.101782,-0.395026,-0.643149,0.235051,0.612425,-100.052744,-37.017536,85.530621
66,make slow circular sweeps until moving anatomy appears,2,frames/frame_000066.png,-0.564962,0.145451,0.101328,-0.402178,-0.638855,0.239414,0.610572,-99.946273,-35.984007,85.101885
67,make slow circular sweeps until moving anatomy appears,2,frames/frame_000067.png,-0.566203,0.143028,0.101656,-0.409788,-0.634026,0.251438,0.605692,-99.732733,-34.192643,85.174655
68,make slow circular sweeps until moving anatomy appears,2,frames/frame_000068.png,-0.566172,0.143063,0.101585,-0.419533,-0.627838,0.262334,0.600826,-99.559597,-32.298367,84.977595
69,make slow circular sweeps until moving anatomy appears,2,frames/frame_000069.png,-0.565022,0.145538,0.101319,-0.431134,-0.620140,0.271976,0.596304,-99.395793,-30.335867,84.487482
70,make slow circular sweeps until moving anatomy appears,2,frames/frame_000070.png,-0.564838,0.145523,0.101151,-0.454666,-0.603632,0.299134,0.582603,-99.067622,-25.552848,84.128249
71,make slow circular sweeps until moving anatomy appears,2,frames/frame_000071.png,-0.564757,0.145574,0.101074,-0.462568,-0.597528,0.308249,0.577904,-98.937840,-23.919701,83.978954
72,make slow circular sweeps until moving anatomy appears,2,frames/frame_000072.png,-0.564975,0.145444,0.101038,-0.469225,-0.591159,0.315377,0.575236,-98.676649,-22.590773,83.648705
73,make slow circular sweeps until moving anatomy appears,2,frames/frame_000073.png,-0.565312,0.145461,0.101300,-0.475173,-0.583893,0.319935,0.575257,-98.250166,-21.575624,82.994456
74,make slow circular sweeps until moving anatomy appears,2,frames/frame_000074.png,-0.565438,0.145377,0.101346,-0.480359,-0.576473,0.322405,0.577052,-97.755778,-20.828402,82.161535
75,make slow circular sweeps until moving anatomy appears,2,frames/frame_000075.png,-0.566736,0.142961,0.101641,-0.482801,-0.570763,0.324371,0.579583,-97.215675,-20.389199,81.532311
76,make slow circular sweeps until moving anatomy appears,2,frames/frame_000076.png,-0.566752,0.142937,0.101618,-0.486488,-0.563970,0.324415,0.583114,-96.689782,-20.003012,80.605514
77,make slow circular sweeps until moving anatomy appears,2,frames/frame_000077.png,-0.565369,0.145478,0.101230,-0.490097,-0.559193,0.323032,0.585456,-96.453923,-19.763108,79.846255
78,make slow circular sweeps until moving anatomy appears,2,frames/frame_000078.png,-0.565437,0.145386,0.101230,-0.492888,-0.553274,0.322079,0.589250,-95.975150,-19.544278,78.969537
79,make slow circular sweeps until moving anatomy appears,2,frames/frame_000079.png,-0.565498,0.145221,0.101316,-0.498925,-0.540158,0.318981,0.597959,-94.942170,-19.128623,76.973238
80,make slow circular sweeps until moving anatomy appears,2,frames/frame_000080.png,-0.565474,0.145235,0.101341,-0.500384,-0.537195,0.318326,0.599755,-94.727773,-19.014084,76.532818
81,make slow circular sweeps until moving anatomy appears,2,frames/frame_000081.png,-0.565502,0.145163,0.101340,-0.500891,-0.536076,0.318121,0.600442,-94.642175,-18.970259,76.370470
82,make slow circular sweeps until moving anatomy appears,2,frames/frame_000082.png,-0.565482,0.145076,0.101300,-0.501808,-0.534120,0.317702,0.601639,-94.497576,-18.895506,76.082503
83,make slow circular sweeps until moving anatomy appears,2,frames/frame_000083.png,-0.565508,0.145072,0.101319,-0.502601,-0.532364,0.317329,0.602729,-94.365234,-18.830120,75.824814
84,make slow circular sweeps until moving anatomy appears,2,frames/frame_000084.png,-0.565426,0.145128,0.101207,-0.502660,-0.531022,0.317292,0.603882,-94.198521,-18.806283,75.645709
85,make slow circular sweeps until moving anatomy appears,2,frames/frame_000085.png,-0.565374,0.145199,0.100876,-0.501444,-0.530322,0.316970,0.605675,-93.963251,-18.936562,75.515790
86,make slow circular sweeps until moving anatomy appears,2,frames/frame_000086.png,-0.566767,0.142654,0.100578,-0.498024,-0.531597,0.317462,0.607120,-93.719106,-19.225004,75.698731
87,make slow circular sweeps until moving anatomy appears,2,frames/frame_000087.png,-0.566773,0.142627,0.100202,-0.497295,-0.531527,0.317033,0.608003,-93.623998,-19.330799,75.645816
88,make slow circular sweeps until moving anatomy appears,2,frames/frame_000088.png,-0.565192,0.145250,0.097883,-0.495960,-0.530362,0.311477,0.612963,-93.324989,-19.951474,74.992884
89,make slow circular sweeps until moving anatomy appears,2,frames/frame_000089.png,-0.565277,0.145192,0.097143,-0.495019,-0.530616,0.309306,0.614600,-93.250103,-20.243407,74.827835
90,make slow circular sweeps until moving anatomy appears,2,frames/frame_000090.png,-0.565524,0.145097,0.096570,-0.494516,-0.530536,0.307579,0.615939,-93.183138,-20.447621,74.661558
91,make slow circular sweeps until moving anatomy appears,2,frames/frame_000091.png,-0.565629,0.145029,0.096250,-0.494411,-0.530432,0.306872,0.616465,-93.158394,-20.520576,74.584865
92,make slow circular sweeps until moving anatomy appears,2,frames/frame_000092.png,-0.565671,0.144897,0.095510,-0.494462,-0.530225,0.305691,0.617188,-93.139758,-20.621451,74.454723
93,make slow circular sweeps until moving anatomy appears,2,frames/frame_000093.png,-0.565746,0.144717,0.094766,-0.495273,-0.529687,0.304921,0.617380,-93.168097,-20.609609,74.323769
94,make slow circular sweeps until moving anatomy appears,2,frames/frame_000094.png,-0.566065,0.144360,0.094163,-0.496987,-0.528784,0.304799,0.616838,-93.255969,-20.449738,74.209578
95,make slow circular sweeps until moving anatomy appears,2,frames/frame_000095.png,-0.566818,0.143990,0.094052,-0.498355,-0.528237,0.304437,0.616381,-93.349768,-20.350106,74.118658
96,make slow circular sweeps until moving anatomy appears,2,frames/frame_000096.png,-0.567950,0.143580,0.093992,-0.499060,-0.528702,0.303159,0.616041,-93.497601,-20.414891,74.075574
97,make slow circular sweeps until moving anatomy appears,2,frames/frame_000097.png,-0.568597,0.143374,0.093923,-0.499205,-0.529355,0.302289,0.615791,-93.601785,-20.495656,74.087756
98,make slow circular sweeps until moving anatomy appears,2,frames/frame_000098.png,-0.571660,0.142555,0.093954,-0.498822,-0.534264,0.297136,0.614368,-94.212128,-21.102235,74.294241
99,make slow circular sweeps until moving anatomy appears,2,frames/frame_000099.png,-0.572955,0.142267,0.094034,-0.498141,-0.536508,0.295083,0.613955,-94.433177,-21.395140,74.413867
100,make slow circular sweeps until moving anatomy appears,2,frames/frame_000100.png,-0.573536,0.142167,0.094012,-0.497782,-0.537656,0.294120,0.613704,-94.545844,-21.537347,74.483420
101,make slow circular sweeps until moving anatomy appears,2,frames/frame_000101.png,-0.576144,0.139298,0.094463,-0.495227,-0.541414,0.293708,0.612664,-94.744297,-21.870186,74.934728
102,make slow circular sweeps until moving anatomy appears,2,frames/frame_000102.png,-0.575630,0.141537,0.094014,-0.496297,-0.542441,0.290610,0.612366,-95.021230,-22.079149,74.822735
103,make slow circular sweeps until moving anatomy appears,2,frames/frame_000103.png,-0.576212,0.140924,0.093975,-0.495223,-0.545276,0.288834,0.611558,-95.283493,-22.387128,75.052254
104,make slow circular sweeps until moving anatomy appears,2,frames/frame_000104.png,-0.578160,0.137647,0.094451,-0.492363,-0.549120,0.288760,0.610461,-95.468463,-22.711025,75.551152
105,make slow circular sweeps until moving anatomy appears,2,frames/frame_000105.png,-0.576897,0.140015,0.094045,-0.493844,-0.548706,0.286793,0.610565,-95.595710,-22.754216,75.342738
106,make slow circular sweeps until moving anatomy appears,2,frames/frame_000106.png,-0.577158,0.139810,0.094021,-0.493298,-0.550308,0.285660,0.610096,-95.755911,-22.932748,75.466055
107,make slow circular sweeps until moving anatomy appears,2,frames/frame_000107.png,-0.577375,0.139751,0.094061,-0.492836,-0.551609,0.284630,0.609775,-95.885076,-23.089197,75.557707
108,make slow circular sweeps until moving anatomy appears,2,frames/frame_000108.png,-0.577651,0.139953,0.093417,-0.487454,-0.557412,0.280641,0.610673,-96.073723,-24.028703,75.993047
109,make slow circular sweeps until moving anatomy appears,2,frames/frame_000109.png,-0.577913,0.139666,0.092755,-0.483849,-0.560643,0.278578,0.611526,-96.114787,-24.589666,76.248920
110,make slow circular sweeps until moving anatomy appears,2,frames/frame_000110.png,-0.578153,0.139379,0.092035,-0.481088,-0.563177,0.276903,0.612135,-96.159997,-25.027390,76.448929
111,make slow circular sweeps until moving anatomy appears,2,frames/frame_000111.png,-0.578271,0.139168,0.091644,-0.479881,-0.564289,0.276182,0.612386,-96.181370,-25.217542,76.538656
112,make slow circular sweeps until moving anatomy appears,2,frames/frame_000112.png,-0.579916,0.136053,0.091277,-0.476028,-0.567513,0.276255,0.612380,-96.196716,-25.598243,76.976988
113,make slow circular sweeps until moving anatomy appears,2,frames/frame_000113.png,-0.578655,0.138281,0.090190,-0.476604,-0.567424,0.273862,0.613089,-96.262874,-25.767167,76.773008
114,make slow circular sweeps until moving anatomy appears,2,frames/frame_000114.png,-0.578670,0.138166,0.089791,-0.476049,-0.568053,0.273249,0.613212,-96.292624,-25.881666,76.809447
115,make slow circular sweeps until moving anatomy appears,2,frames/frame_000115.png,-0.578800,0.137737,0.089136,-0.475088,-0.569088,0.272234,0.613449,-96.336779,-26.074705,76.869032
116,make slow circular sweeps until moving anatomy appears,2,frames/frame_000116.png,-0.578913,0.137227,0.088463,-0.474283,-0.569984,0.271243,0.613679,-96.379236,-26.249620,76.912177
117,make slow circular sweeps until moving anatomy appears,2,frames/frame_000117.png,-0.580397,0.134195,0.087990,-0.471516,-0.572413,0.271243,0.613550,-96.415038,-26.526851,77.244854
118,make slow circular sweeps until moving anatomy appears,2,frames/frame_000118.png,-0.579212,0.135821,0.085743,-0.470874,-0.573760,0.266447,0.614885,-96.566058,-27.043453,77.049099
119,make slow circular sweeps until moving anatomy appears,2,frames/frame_000119.png,-0.579352,0.135689,0.084888,-0.470040,-0.574427,0.265253,0.615416,-96.575018,-27.236479,77.043760
120,make slow circular sweeps until moving anatomy appears,2,frames/frame_000120.png,-0.579442,0.135689,0.084443,-0.469796,-0.574559,0.264815,0.615667,-96.568758,-27.300398,77.025492
121,make slow circular sweeps until moving anatomy appears,2,frames/frame_000121.png,-0.579619,0.135766,0.083260,-0.469752,-0.574629,0.264144,0.615924,-96.577775,-27.367225,76.981223
122,make slow circular sweeps until moving anatomy appears,2,frames/frame_000122.png,-0.579758,0.135652,0.081926,-0.470117,-0.574489,0.263747,0.615946,-96.601588,-27.369367,76.931877
123,make slow circular sweeps until moving anatomy appears,2,frames/frame_000123.png,-0.580026,0.135585,0.080744,-0.470574,-0.573624,0.262897,0.616766,-96.530104,-27.397347,76.737583
124,make slow circular sweeps until moving anatomy appears,2,frames/frame_000124.png,-0.580263,0.135516,0.080296,-0.470598,-0.572885,0.262333,0.617674,-96.425408,-27.439139,76.580653
125,make slow circular sweeps until moving anatomy appears,2,frames/frame_000125.png,-0.580603,0.135491,0.079510,-0.470139,-0.571088,0.260450,0.620479,-96.112995,-27.632670,76.151821
126,make slow circular sweeps until moving anatomy appears,2,frames/frame_000126.png,-0.581017,0.135569,0.079029,-0.469511,-0.568384,0.258058,0.624423,-95.648249,-27.872320,75.543018
127,make slow circular sweeps until moving anatomy appears,2,frames/frame_000127.png,-0.581214,0.135553,0.078765,-0.469140,-0.567026,0.256843,0.626435,-95.408179,-27.996613,75.235234
128,make slow circular sweeps until moving anatomy appears,2,frames/frame_000128.png,-0.581823,0.135474,0.077588,-0.468026,-0.560645,0.251515,0.635113,-94.354383,-28.471143,73.828189
129,make slow circular sweeps until moving anatomy appears,2,frames/frame_000129.png,-0.581932,0.135366,0.077496,-0.468000,-0.559926,0.251068,0.635943,-94.247114,-28.500269,73.683642
130,make slow circular sweeps until moving anatomy appears,2,frames/frame_000130.png,-0.582251,0.135198,0.077552,-0.468015,-0.558458,0.250383,0.637491,-94.035454,-28.532495,73.408457
131,make slow circular sweeps until moving anatomy appears,2,frames/frame_000131.png,-0.583823,0.132442,0.077720,-0.466312,-0.558669,0.251154,0.638250,-93.861232,-28.614122,73.479942
132,make slow circular sweeps until moving anatomy appears,2,frames/frame_000132.png,-0.582389,0.135077,0.077339,-0.468066,-0.556990,0.249358,0.639138,-93.829683,-28.591100,73.105907
133,make slow circular sweeps until moving anatomy appears,2,frames/frame_000133.png,-0.582320,0.135119,0.077216,-0.468114,-0.556237,0.248796,0.639977,-93.727134,-28.621942,72.948242
134,make slow circular sweeps until moving anatomy appears,2,frames/frame_000134.png,-0.582319,0.135107,0.077057,-0.468152,-0.555682,0.248312,0.640618,-93.652119,-28.650484,72.826315
135,make slow circular sweeps until moving anatomy appears,2,frames/frame_000135.png,-0.582415,0.135036,0.077085,-0.468130,-0.555386,0.248204,0.640934,-93.606402,-28.655843,72.773082
136,make slow circular sweeps until moving anatomy appears,2,frames/frame_000136.png,-0.582508,0.134939,0.077059,-0.468128,-0.554925,0.247986,0.641418,-93.539634,-28.665847,72.686626
137,make slow circular sweeps until moving anatomy appears,2,frames/frame_000137.png,-0.582546,0.135012,0.077114,-0.468189,-0.554423,0.247785,0.641885,-93.474306,-28.667900,72.596478
138,make slow circular sweeps until moving anatomy appears,2,frames/frame_000138.png,-0.582615,0.135409,0.077508,-0.468552,-0.553128,0.247664,0.642784,-93.329626,-28.619864,72.400106
139,make slow circular sweeps until moving anatomy appears,2,frames/frame_000139.png,-0.583904,0.132745,0.077336,-0.467670,-0.553644,0.250550,0.641863,-93.290949,-28.449029,72.703950
140,make slow circular sweeps until moving anatomy appears,2,frames/frame_000140.png,-0.582249,0.135480,0.076688,-0.471180,-0.550347,0.252508,0.641363,-93.229526,-27.904030,72.433903
141,make slow circular sweeps until moving anatomy appears,2,frames/frame_000141.png,-0.582271,0.135491,0.076575,-0.472400,-0.548904,0.254862,0.640771,-93.162910,-27.558303,72.438245
142,make slow circular sweeps until moving anatomy appears,2,frames/frame_000142.png,-0.582375,0.135519,0.076438,-0.476612,-0.544281,0.262076,0.638683,-92.996373,-26.450800,72.438128
143,make slow circular sweeps until moving anatomy appears,2,frames/frame_000143.png,-0.582475,0.135455,0.076244,-0.483622,-0.536922,0.273272,0.634938,-92.797676,-24.677059,72.445110
144,make slow circular sweeps until moving anatomy appears,2,frames/frame_000144.png,-0.582562,0.135388,0.076243,-0.487327,-0.532994,0.279174,0.632844,-92.701105,-23.734919,72.454833
145,make slow circular sweeps until moving anatomy appears,2,frames/frame_000145.png,-0.582773,0.135268,0.076223,-0.495214,-0.524849,0.291072,0.628151,-92.555693,-21.782346,72.475019
146,make slow circular sweeps until moving anatomy appears,2,frames/frame_000146.png,-0.583115,0.135104,0.076463,-0.503349,-0.516681,0.302330,0.623119,-92.476250,-19.849614,72.472247
147,make slow circular sweeps until moving anatomy appears,2,frames/frame_000147.png,-0.583219,0.135005,0.076585,-0.511326,-0.509004,0.312724,0.617789,-92.475699,-18.005376,72.483810
148,make slow circular sweeps until moving anatomy appears,2,frames/frame_000148.png,-0.583235,0.134860,0.076407,-0.531119,-0.490663,0.337079,0.602942,-92.692512,-13.510559,72.569813
149,make slow circular sweeps until moving anatomy appears,2,frames/frame_000149.png,-0.583391,0.134778,0.076410,-0.538910,-0.483437,0.346539,0.596469,-92.825806,-11.724408,72.624719
150,make slow circular sweeps until moving anatomy appears,2,frames/frame_000150.png,-0.583436,0.134718,0.076408,-0.546471,-0.476236,0.355839,0.589871,-92.960025,-9.957858,72.684068
151,make slow circular sweeps until moving anatomy appears,2,frames/frame_000151.png,-0.584868,0.132080,0.076661,-0.548719,-0.474176,0.361744,0.585837,-93.011477,-9.124953,73.004552
152,make slow circular sweeps until moving anatomy appears,2,frames/frame_000152.png,-0.583357,0.134682,0.076284,-0.557727,-0.465251,0.369698,0.579487,-93.180659,-7.286596,72.775224
153,make slow circular sweeps until moving anatomy appears,2,frames/frame_000153.png,-0.583190,0.134690,0.076113,-0.564588,-0.458389,0.378101,0.572853,-93.327292,-5.637592,72.826446
154,make slow circular sweeps until moving anatomy appears,2,frames/frame_000154.png,-0.584583,0.132002,0.076284,-0.568935,-0.454001,0.386617,0.566324,-93.426809,-4.261236,73.164777
